id,name,parameter.id,parameter.name,parameter.units,parameter.displayName,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,latest.datetime.utc,latest.datetime.local,latest.value,latest.coordinates.latitude,latest.coordinates.longitude,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-08T05:00:00Z,2025-04-08T07:00:00+02:00,1,01:00:00,1780,1780:00:00,178000.0,178000.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-08T05:00:00Z,2025-04-08T07:00:00+02:00,2025-04-08 05:00:00+00:00,2025-04-08 07:00:00+02:00,410.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-09T06:00:00Z,2025-04-09T08:00:00+02:00,1,01:00:00,1800,1800:00:00,180000.0,180000.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-09T06:00:00Z,2025-04-09T08:00:00+02:00,2025-04-09 06:00:00+00:00,2025-04-09 08:00:00+02:00,510.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-10T05:00:00Z,2025-04-10T07:00:00+02:00,1,01:00:00,1820,1820:00:00,182000.0,182000.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-10T05:00:00Z,2025-04-10T07:00:00+02:00,2025-04-10 05:00:00+00:00,2025-04-10 07:00:00+02:00,450.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-11T05:00:00Z,2025-04-11T07:00:00+02:00,1,01:00:00,1843,1843:00:00,184300.0,184300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-11T05:00:00Z,2025-04-11T07:00:00+02:00,2025-04-11 05:00:00+00:00,2025-04-11 07:00:00+02:00,440.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-12T06:00:00Z,2025-04-12T08:00:00+02:00,1,01:00:00,1864,1864:00:00,186400.0,186400.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-12T06:00:00Z,2025-04-12T08:00:00+02:00,2025-04-12 06:00:00+00:00,2025-04-12 08:00:00+02:00,440.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-13T05:00:00Z,2025-04-13T07:00:00+02:00,1,01:00:00,1885,1885:00:00,188500.0,188500.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-13T05:00:00Z,2025-04-13T07:00:00+02:00,2025-04-13 05:00:00+00:00,2025-04-13 07:00:00+02:00,500.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-14T06:00:00Z,2025-04-14T08:00:00+02:00,1,01:00:00,1908,1908:00:00,190800.0,190800.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-14T06:00:00Z,2025-04-14T08:00:00+02:00,2025-04-14 06:00:00+00:00,2025-04-14 08:00:00+02:00,460.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-15T06:00:00Z,2025-04-15T08:00:00+02:00,1,01:00:00,1931,1931:00:00,193100.0,193100.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-15T06:00:00Z,2025-04-15T08:00:00+02:00,2025-04-15 06:00:00+00:00,2025-04-15 08:00:00+02:00,480.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-16T06:00:00Z,2025-04-16T08:00:00+02:00,1,01:00:00,1953,1953:00:00,195300.0,195300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-16T06:00:00Z,2025-04-16T08:00:00+02:00,2025-04-16 06:00:00+00:00,2025-04-16 08:00:00+02:00,460.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-17T06:00:00Z,2025-04-17T08:00:00+02:00,1,01:00:00,1975,1975:00:00,197500.0,197500.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-17T06:00:00Z,2025-04-17T08:00:00+02:00,2025-04-17 06:00:00+00:00,2025-04-17 08:00:00+02:00,430.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
